City,Website,Revenue,Status,Value
Frisco,http://bluestarimaging.com,"$500,001 to $7,500,000",Private,0
Charlotte,http://www.umarinfo.com,"$7,500,001 to $25,000,000",Private,1
St. Cloud,http://www.mobilemsksolutions.com,Below $1,Private,0
Beverly Hills,https://www.bellacanvas.com/,"$500,001 to $7,500,000",Private,0
Las Vegas,http://www.provepartners.com,"$25,000,001 to $100,000,000",Private,0
Cleveland,https://clevelandrighttolife.org/,"$1 to $500,000",Other,0
Cincinnati,https://optimalhealthinitiatives.com/,"$100,000,001 or Above",Private,0
Mays Landing,https://njoutdooralliance.org/,"$1 to $500,000",Non Profit,0
Irvine,https://mycarauction.com/,"$7,500,001 to $25,000,000",Private,0
Bloomington,http://www.heraldtx.com,Undefined,Private,0
Paso Robles,http://www.ewarbirds.org,Below $1,Non Profit,0
Ithaca,https://www.ionicasci.com/,"$1 to $500,000",Non Profit,0
Daytona Beach,https://www.pandspavinginc.com/,Undefined,Private,0
Reed City,https://www.reedcitygroup.com/,"$25,000,001 to $100,000,000",Non Profit,0
Brooklyn,https://bigapplehhc.com/,Undefined,Private,0
Vancouver,http://www.emaonline.com/,"$7,500,001 to $25,000,000",Private,0
Boston,https://www.mintz.com/,Undefined,Non Profit,1
New York,https://playanywhere.com,Undefined,Private,0
New York,http://www.wearlilu.com,"$1 to $500,000",Non Profit,0
Queensbury,http://greateradirondackhomeaides.org,Undefined,Non Profit,0
Jonesville,http://www.comcowellness.com,"$500,001 to $7,500,000",Private,0
Bronx,https://acacianetwork.org/,"$100,000,001 or Above",Private,0
San Marcos,https://www.westhealth.org/,"$7,500,001 to $25,000,000",Private,0
New York,http://gilbertinternational.com/,Undefined,Non Profit,0
Laguna Hills,https://oakmontseniorliving.com/,Undefined,Private,0
Manchester,https://meterhealth.com/,"$1 to $500,000",Private,0
Ocean Township,https://onorahealth.com/,Undefined,Non Profit,0
Montville,http://www.lakevalhallaclub.com/,Below $1,Non Profit,0
Reno,http://www.nevadaemergencyphysicians.com,"$25,000,001 to $100,000,000",Non Profit,0
Hialeah,https://www.mytomthumb.com/,"$25,000,001 to $100,000,000",Non Profit,0
Colton,https://www.milestoneretirement.com/senior-living/ca/colton/,Undefined,Non Profit,0
Greenwood,http://www.preventiagroup.com,"$1 to $500,000",Private,0
West Covina,http://www.clarabaldwinstocker.com/,"$500,001 to $7,500,000",Non Profit,0
City of Industry,https://islandpacificmarket.com/,"$100,000,001 or Above",Private,0
Delevan,http://www.circlecranch.org,Below $1,Non Profit,1
Gaithersburg,https://www.rnaimmune.com/,Below $1,Private,0
Wheeling,http://www.healthplan.org,Undefined,Private,0
Great Neck,https://www.orphiontherapeutics.com/,Undefined,Private,0
Jersey City,https://www.pomelocare.com/,Below $1,Private,0
Boca Raton,http://www.ISLETSciences.net,Below $1,Private,0
Santa Monica,http://www.xrds.org,"$25,000,001 to $100,000,000",Private,0
De Pere,http://www.jonessign.com,"$500,001 to $7,500,000",Private,0
Oakland,http://www.bayviewservices.com,"$25,000,001 to $100,000,000",Private,0
New York,https://www.drdavidrosenberg.com/,"$7,500,001 to $25,000,000",Private,0
Essex,http://haloprogram.com,Below $1,Private,0
Brentwood,https://www.spartanfitnessholdings.com/,"$7,500,001 to $25,000,000",Private,0
Studio City,http://voltagepictures.com,"$500,001 to $7,500,000",Private,0
Charleston,https://www.charlestoncarriagehorseadvocates.com/,"$1 to $500,000",Non Profit,0
West Hollywood,https://www.sunsetgroup.com/,"$7,500,001 to $25,000,000",Private,0
Savannah,http://www.chathamems.org,"$25,000,001 to $100,000,000",Other,0
Temecula,https://www.meritframing.com/,Undefined,Private,0
Campbell,https://www.yesvideo.com/,"$7,500,001 to $25,000,000",Private,0
Phoenix,https://directedira.com/,Undefined,Other,0
Palo Alto,http://www.ladderlife.com,"$25,000,001 to $100,000,000",Private,0
New York,http://www.bravenfilms.com/,"$1 to $500,000",Private,0
Wales,http://culvers.com,Undefined,Private,1
New York,https://energy-vision.org/,Undefined,Non Profit,0
Tustin,http://www.prioritystaffing.biz,"$100,000,001 or Above",Private,0
Temecula,http://www.primeedusolutions.com,"$500,001 to $7,500,000",Private,0
Los Alamitos,https://www.mamason39.com/,Undefined,Private,0
Midland,https://glpo.org,"$500,001 to $7,500,000",Other,0
Jersey City,http://www.apprentice.io,"$500,001 to $7,500,000",Private,0
Miami,https://dakiauventures.com/,"$1 to $500,000",Private,0
Rochester,http://payquicker.com,"$7,500,001 to $25,000,000",Non Profit,0
Whittier,https://lascarisdeli.com/,Undefined,Private,0
Santa Monica,https://www.wattcompanies.com/,Undefined,Private,0
New York,http://lawfund.com,"$7,500,001 to $25,000,000",Private,0
Lake Barrington,https://cornerstonerisk.com/,"$500,001 to $7,500,000",Private,1
Newark,https://www.freshproduce.com/,"$7,500,001 to $25,000,000",Private,0
Lehi,https://welink.com/,"$500,001 to $7,500,000",Private,0
Parsons,http://www.labettehealth.com,"$25,000,001 to $100,000,000",Private,0
Edina,http://www.coraviemedical.com,Below $1,Private,0
Los Angeles,http://www.fidelityca.com,Undefined,Private,0
Santa Monica,https://www.perrknight.com/,"$25,000,001 to $100,000,000",Private,0
Cornelius,http://www.balancedpharma.com/,Below $1,Private,0
Crown Point,http://www.oyetherapeutics.com,Below $1,Private,0
Redondo Beach,https://www.williamssignal.com/,Undefined,Private,0
Chicago,https://www.orionphotogroup.com/,"$7,500,001 to $25,000,000",Other,0
Santa Rosa,http://4thstreetlaser.com,"$500,001 to $7,500,000",Private,0
Katy,https://101poker-club.com/,Below $1,Other,0
Orlando,http://corporate.amazingpictures.com/,Undefined,Private,0
Brooklyn,https://www.mishkafw.com/,Below $1,Private,0
New York,http://www.wingedkeel.com,"$25,000,001 to $100,000,000",Private,0
San Diego,https://www.electrochaea.com/,Below $1,Private,0
New York,http://www.scott-macon.com,Undefined,Private,0
Omaha,https://www.creighton.edu/,Undefined,Non Profit,0
Exton,https://www.ironhillbrewery.com/,"$25,000,001 to $100,000,000",Private,0
San Francisco,https://www.quantumleaphealth.org/,"$25,000,001 to $100,000,000",Non Profit,0
Austin,https://directbiologics.com/,"$7,500,001 to $25,000,000",Private,0
North Las Vegas,https://marianasmarkets.com/,"$25,000,001 to $100,000,000",Non Profit,0
Concord,http://www.nhhelco.org,"$25,000,001 to $100,000,000",Private,0
Pine Brook,https://klossorg.com/,Undefined,Private,0
Tallahassee,https://www.flclerks.com/,"$25,000,001 to $100,000,000",Non Profit,0
Dallas,https://www.pandabiotech.com/,"$1 to $500,000",Private,0
Cartersville,https://www.scopesfs.com,"$7,500,001 to $25,000,000",Private,0
New York,https://www.simplehealth.com/,"$25,000,001 to $100,000,000",Private,0
Scotts Valley,https://www.uaudio.com/,"$100,000,001 or Above",Private,0
Santa Monica,https://cosmostreet.com/,"$25,000,001 to $100,000,000",Private,0
Brooklyn,http://www.doralhw.org,Undefined,Non Profit,0
Bronxville,http://www.gellerfamilydental,Undefined,Private,0
Tempe,http://www.cwei.net,"$100,000,001 or Above",Private,0
West Nyack,https://reginacheckcashing.com/,Undefined,Non Profit,0
Seaford,https://www.corsittoagency.com/,Undefined,Private,0
New York,https://www.marubeni-trans.com,"$100,000,001 or Above",Private,0
Great Neck,http://www.dynamiclegalfunding.com,"$500,001 to $7,500,000",Private,0
Irvine,http://www.immunecyte.com/,Below $1,Private,0
Arcata,http://www.internews.org,"$25,000,001 to $100,000,000",Private,0
Charlotte,https://www.commonwealthcharlotte.org/,Below $1,Private,0
Greenwich,http://www.ennabl.com,Undefined,Private,0
North Las Vegas,https://www.boxabl.com/,Below $1,Non Profit,0
Santa Barbara,https://cmhi.org/,"$500,001 to $7,500,000",Private,0
Ocean City,https://www.holidayoc.com/,Undefined,Private,0
Portland,http://www.avestahousing.org,"$25,000,001 to $100,000,000",Private,1
Juneau,https://www.spruceroot.org/,"$500,001 to $7,500,000",Non Profit,0
Riverside,https://2020ph.com/,"$100,000,001 or Above",Private,0
Nenana,https://www.nenanaakiceclassic.com/,"$1 to $500,000",Non Profit,0
Los Angeles,https://www.truconnect.com/,"$100,000,001 or Above",Private,0
Laredo,https://palenquegroup.com/,Undefined,Private,0
Santa Clara,https://www.trianz.com/,"$1 to $500,000",Private,1
Weslaco,https://www.holyfamilybirthcenter.com/,"$500,001 to $7,500,000",Other,0
San Antonio,https://journeyhospice.com/,Undefined,Non Profit,0
Williamsburg,https://virginiapace.com/,"$1 to $500,000",Private,0
Athens,https://athensymca.org/,Undefined,Private,0
Montgomery,https://caddell.com/,"$100,000,001 or Above",Private,0
Naples,http://strongfam.com,Below $1,Private,0
Tupelo,https://reliashealthcare.com,"$25,000,001 to $100,000,000",Private,1
winter park,http://mountainchaletpm.com,"$1 to $500,000",Private,1
Farmington,http://www.broadcastmed.com,"$7,500,001 to $25,000,000",Private,0
San Francisco,http://ssjeremiahorien.org,"$500,001 to $7,500,000",Private,0
Harrison,https://www.interstatefireandsfty.net/,Undefined,Private,0
Clewiston,http://www.berneroil.com/,Undefined,Private,0
Naples,https://www.jewishnaples.org/,"$500,001 to $7,500,000",Private,0
Lake Mary,https://www.elitemedicalstaffing.com/,Undefined,Private,0
St. Louis,http://www.triadmfg.com,"$100,000,001 or Above",Private,1
Kansas City,https://simplifyy.com/,"$500,001 to $7,500,000",Private,0
Portland,https://www.vacasa.com/,Undefined,Private,0
Chevy Chase,https://www.brainscope.com/,"$500,001 to $7,500,000",Private,0
Phoenix,http://www.referencemedicine.com,Undefined,Private,0
Englewood,https://cohhc.org/,"$1 to $500,000",Private,0
Philadelphia,https://www.kenccid.org/,"$7,500,001 to $25,000,000",Other,0
Fresno,https://twilighthaven.com/,"$500,001 to $7,500,000",Non Profit,1
Troy,https://www.malacehr.com/,"$25,000,001 to $100,000,000",Private,0
Beverly Hills,https://www.monamient.com/,Undefined,Private,0
Miami,http://happyy.me,Below $1,Private,0
Allentown,https://theliftcenter.net/,"$500,001 to $7,500,000",Private,0
La Verne,http://andersenplumbing.com,Undefined,Private,1
Pomona,http://www.biotech.com,"$25,000,001 to $100,000,000",Private,1
Irvine,http://www.apertoliving.com,"$7,500,001 to $25,000,000",Private,1
Mableton,http://www.jameselite.com/,Undefined,Private,0
Oxnard,https://www.successvalleyproduce.com/,Undefined,Private,1
Beverly,http://www.magaagain.com,"$7,500,001 to $25,000,000",Non Profit,0
Norwood,https://www.ccsusa.com/,"$25,000,001 to $100,000,000",Private,0
Costa Mesa,https://astropak.com/,"$25,000,001 to $100,000,000",Private,0
Woodmere,https://www.l3ccp.com/,"$25,000,001 to $100,000,000",Private,0
Stoneham,https://www.seemcollaborative.org/,"$25,000,001 to $100,000,000",Non Profit,0
Agoura Hills,http://www.suretygrp.com/,"$1 to $500,000",Private,0
Los Angeles,https://gunpowdersky.com/,"$25,000,001 to $100,000,000",Private,0
New York,https://www.january.com/,Below $1,Private,0
Chicago,https://erisfutures.com/,"$1 to $500,000",Private,0
Lee's Summit,https://heritagebiologics.com/,"$25,000,001 to $100,000,000",Private,0
Chicago,https://www.m3cp.com/,"$100,000,001 or Above",Private,0
Piscataway,http://www.pblassaysci.com,"$500,001 to $7,500,000",Non Profit,0
HILLS DALES,https://usworldmeds.com,"$25,000,001 to $100,000,000",Private,0
Morro Bay,http://www.edesabiotech.com,Below $1,Private,0
Herndon,http://www.potomacdining.com,"$100,000,001 or Above",Private,0
New York,http://www.deerpathcapital.com/,Undefined,Private,0
New York,https://www.metcouncil.org/,"$25,000,001 to $100,000,000",Non Profit,0
Columbia,https://merriweathermusic.com/,"$25,000,001 to $100,000,000",Private,0
Coburg,https://serenitylane.org/,"$7,500,001 to $25,000,000",Private,0
Broomfield,https://concurrenthro.com/,"$500,001 to $7,500,000",Private,1
Pennsauken Township,https://datwyler.com,Undefined,Private,0
Laguna Hills,http://careplus-hhc.com,"$500,001 to $7,500,000",Private,1
Sutton,http://www.ugpg2.com,"$100,000,001 or Above",Private,1
Austin,https://www.remco.com/,"$500,001 to $7,500,000",Private,0
St. Louis,https://www.bilingualinhome.com/,Undefined,Private,0
Groton,https://www.astrocytepharma.com/,"$500,001 to $7,500,000",Private,0
Winter Park,http://www.drz-inc.com,Undefined,Private,1
Murrieta,http://www.unitedmd.com,Undefined,Private,0
Redwood City,https://www.trinitasfarming.com/,"$7,500,001 to $25,000,000",Private,0
Westlake Village,https://www.doughertylaservision.com/,Undefined,Private,0
Washington,https://ncai.org/,"$7,500,001 to $25,000,000",Private,0
Waite Park,https://grizzlysgrill.com,Undefined,Private,0
Irving,https://www.signaturebiologics.com/,"$7,500,001 to $25,000,000",Private,0
New York,http://interplay.vc,"$500,001 to $7,500,000",Non Profit,0
Albany,https://www.nysrc.org/,"$500,001 to $7,500,000",Private,0
Northville,http://www.homesteadmanagementgroup.com/,Undefined,Private,0
Cambridge,https://www.scienceforamerica.org/,"$500,001 to $7,500,000",Non Profit,0
Atlanta,https://www.burnbyrockypatel.com/atlanta,"$500,001 to $7,500,000",Other,0
Philadelphia,http://www.nomofoundation.org,"$500,001 to $7,500,000",Private,0
Lubbock,https://caprockbehavior.com/,"$500,001 to $7,500,000",Private,0
Mountain View,https://cordancemedical.com/,Undefined,Private,0
Burbank,http://us.funfactory.com,"$500,001 to $7,500,000",Private,0
Villa Park,https://tlmpartners.com/,"$7,500,001 to $25,000,000",Private,0
Fort Washington,https://www.kintock.org/,"$25,000,001 to $100,000,000",Private,0
New York,https://www.handinhand.health/,Below $1,Private,0
Irving,http://www.actiohx.com/,"$7,500,001 to $25,000,000",Private,0
Santa Fe,http://www.santafefarms.com,"$500,001 to $7,500,000",Private,0
Rosemont,http://www.bridgeindustrial.com,"$100,000,001 or Above",Other,1
St. Petersburg,https://www.insourcees.com/,"$7,500,001 to $25,000,000",Private,0
Boerne,http://toyotaofboerne.com,"$100,000,001 or Above",Private,1
Pacific Palisades,https://www.metroproperties.net/,"$1 to $500,000",Private,0
Caldwell,https://wvgbc.com/,Below $1,Private,0
Des Moines,https://www.curql.com/,"$1 to $500,000",Private,0
Floyd,https://www.wallresidences.com/,"$25,000,001 to $100,000,000",Private,0
Seattle,http://www.decent.com,"$1 to $500,000",Private,0
Buffalo,http://www.dashsmarket.com,Undefined,Private,1
Savannah,http://mikehostilolawfirm.com,Undefined,Private,0
City of Industry,http://www.us-ac.com/,"$100,000,001 or Above",Private,0
Hemet,https://thelakesathemetwest.com/,"$500,001 to $7,500,000",Non Profit,1
Lakewood,http://Montium.com,Undefined,Non Profit,0
San Francisco,https://www.moogsoft.com/,"$25,000,001 to $100,000,000",Private,0
Millinocket,http://borealtheater.art/,Undefined,Private,0
Phoenix,https://www.cash1loans.com/,"$25,000,001 to $100,000,000",Private,0
Teaneck,https://www.hanwhasecurity.com/,"$100,000,001 or Above",Private,0
Ho-Ho-Kus,https://alanbaird.com/,"$25,000,001 to $100,000,000",Non Profit,0
Knoxville,http://www.ywcaknox.com,"$500,001 to $7,500,000",Non Profit,0
Rancho Murieta,http://ranchomurietacc.com,"$500,001 to $7,500,000",Non Profit,0
Middleburg,https://thishorseinsurance.com/,"$500,001 to $7,500,000",Private,0
Los Angeles,https://www.anjacfashionbuildings.com/home/buildings,"$25,000,001 to $100,000,000",Private,0
Chicago,https://www.ttx.com/,"$500,001 to $7,500,000",Private,0
Brooklyn,https://sightdx.com/en-us,Undefined,Private,0
Wausau,https://www.wincgme.org/,"$500,001 to $7,500,000",Non Profit,0
Oakland,https://www.ekohealth.com/,"$7,500,001 to $25,000,000",Private,0
New York,https://www.jokr.com/,Below $1,Non Profit,0
Woodland Hills,https://goetzmangroup.com/,Undefined,Private,1
Sausalito,https://www.sausalitoyachtclub.org/,"$500,001 to $7,500,000",Non Profit,0
Atlanta,http://www.greenlight.com/,"$25,000,001 to $100,000,000",Private,0
Louisville,http://www.frescafoodsinc.com,"$25,000,001 to $100,000,000",Private,0
Oklahoma City,http://www.ossonetwork.com,"$25,000,001 to $100,000,000",Other,0
Oklahoma City,http://www.adaptation.com,"$500,001 to $7,500,000",Private,0
Evanston,https://www.160drivingacademy.com/,"$25,000,001 to $100,000,000",Private,0
Maple Plain,http://www.workshopsofwatertown.com,"$1 to $500,000",Private,0
San Francisco,https://karus.ai/,Below $1,Private,0
San Diego,http://tempothera.com/,"$1 to $500,000",Private,0
Denver,http://www.abom.org,"$500,001 to $7,500,000",Private,0
Chicago,http://www.edgesurgical.com,"$1 to $500,000",Private,0
Houston,https://tvarditherapeutics.com/,Below $1,Private,0
San Antonio,https://www.sanantonio-insurance.com/,"$500,001 to $7,500,000",Private,0
Watertown,https://windgapmedical.com/,"$1 to $500,000",Private,0
New York,http://cynvec.com,"$500,001 to $7,500,000",Private,0
Hollywood,http://www.worldemblem.com,"$25,000,001 to $100,000,000",Private,1
Austin,https://ebq.com/,"$25,000,001 to $100,000,000",Private,1
Nashville,http://crew1.com,"$500,001 to $7,500,000",Private,0
San Antonio,https://www.reocsanantonio.com/,"$500,001 to $7,500,000",Private,0
Amarillo,https://nrg-rehab.com/,"$7,500,001 to $25,000,000",Private,1
Delray Beach,http://www.toplineinsurance.com,Undefined,Private,0
Great Neck,https://flextrade.com/,"$100,000,001 or Above",Private,0
Auburn,https://pacificparks.com/,"$25,000,001 to $100,000,000",Private,0
Detroit,https://sunrise.co/customer-stories/bedrock-manufacturing/,"$100,000,001 or Above",Private,1
Indianapolis,https://www.3chi.com/,"$25,000,001 to $100,000,000",Private,0
Portland,http://www.smptld.com,Undefined,Private,0
Lake Forest,http://www.navigatecsi.com,"$1 to $500,000",Private,1
South Lyon,http://CATTAILSGOLFCLUB.COM,"$500,001 to $7,500,000",Other,0
Kansas City,http://clay-platte-raymh.org/,Undefined,Non Profit,0
Seattle,http://vilyatx.com,Below $1,Private,0
Nashville,http://www.TML.org,Undefined,Non Profit,0
San Diego,https://www.allelebiotech.com/,"$500,001 to $7,500,000",Private,0
Pacific,https://www.walkerproducts.com/,"$25,000,001 to $100,000,000",Private,1
San Francisco,https://www.nirvanatech.com/,Below $1,Private,0
San Jose,http://www.ryzen.com,Undefined,Other,0
Howell Township,http://www.smshousekeeping.com,Undefined,Private,0
Richmond,https://virginia.gop/,"$500,001 to $7,500,000",Non Profit,0
Leesburg,https://www.keyscalesford.com/,"$25,000,001 to $100,000,000",Private,0
Dallas,http://rootsmg.com,Undefined,Private,1
Fort Myers,https://www.oldehickory.cc/,Below $1,Private,0
Dallas,http://www.blockmetrix.com,"$1 to $500,000",Private,0
Clifton,https://www.capitaltransportation.us/,Undefined,Private,0
New York,https://hivemind.capital/,Below $1,Private,0
New City,https://friedwaldcenter.com/,"$25,000,001 to $100,000,000",Non Profit,0
Montgomery,http://www.lakebonanzapoa.com/,"$1 to $500,000",Private,1
Ridgefield,https://domoticsre.com/,Below $1,Private,0
Bridgewater,http://hillcrestmanagement.com,"$1 to $500,000",Non Profit,0
West Palm Beach,https://www.seniorhelpers.com/fl/palm-beach/,Undefined,Private,0
Marshall,http://alianzaandina.org/,"$1 to $500,000",Non Profit,0
Los Angeles,https://local148.org/,"$1 to $500,000",Private,0
Chittenden,https://mountaintopinn.com/,Undefined,Private,0
Cambridge,https://www.naobservatory.org/,Below $1,Private,0
Westerville,https://operi.org/,"$500,001 to $7,500,000",Private,0
Tinley Park,https://provenit.com/,"$25,000,001 to $100,000,000",Private,0
Longmont,https://www.earthview.io/,Below $1,Non Profit,0
Mountain View,https://www.astraeatherapeutics.com/,"$500,001 to $7,500,000",Private,0
Knoxville,http://www.mercedesofknoxville.com,"$100,000,001 or Above",Private,1
Los Angeles,https://flyasiana.com/C/US/EN/index,Undefined,Private,0
Millbrook,http://www.titlecenter.net,"$500,001 to $7,500,000",Private,0
San Jose,https://plmweb.com/,Undefined,Private,0
Kokomo,http://ipep.com,"$25,000,001 to $100,000,000",Non Profit,0
Addison,http://hudsonpeters.com,Undefined,Private,0
Billings,https://www.billingsford.com/,Undefined,Private,0
Irving,https://www.gsacep.org/,Undefined,Private,0
Duluth,https://www.ridefox.com/,Undefined,Private,0
Eustis,https://oklawaha-valley-audubon.org/,"$1 to $500,000",Private,0
Lakewood,https://gourmetglatt.com/,Undefined,Private,0
Farmington Hills,http://www.lautrecltd.com,"$7,500,001 to $25,000,000",Private,0
Bakersfield,http://www.bakersfieldcare.com,Undefined,Private,0
Creve Coeur,http://Polarityltd.com,"$500,001 to $7,500,000",Other,0
Atlanta,https://sablecard.com/,Below $1,Private,0
Howell Township,https://eshyft.com/,Below $1,Private,0
Chicago,https://www.lincolnsecurityllc.com/,Undefined,Private,0
Natick,https://www.fenaghengineering.com/,Undefined,Private,0
Gibson Island,https://www.gibsonisland.com/,"$7,500,001 to $25,000,000",Non Profit,0
San Antonio,https://olmospark.org/,Below $1,Non Profit,0
Fort Worth,https://www.jhowecapital.com/,Undefined,Private,0
Alexandria,http://stonealliancegroup.com,"$500,001 to $7,500,000",Private,0
San Antonio,https://concorazonsa.org/,"$1 to $500,000",Private,0
Long Beach,https://wowe.com/,"$1 to $500,000",Private,0
DeKalb,https://www.demidoctors.com/,Undefined,Private,0
Texarkana,http://www.pharmanobis.com,"$25,000,001 to $100,000,000",Private,0
San Diego,https://www.davlyninvestments.com/,Undefined,Private,0
San Jose,http://www.sjearthquakes.com,"$7,500,001 to $25,000,000",Private,1
Salem,http://www.foxxlifesciences.com,Undefined,Private,1
Denver,https://www.cherrycreekcountryclub.com/,"$7,500,001 to $25,000,000",Private,0
Billerica,https://www.potpourrigroup.com/,"$1 to $500,000",Private,0
Princeton Junction,http://www.alwaysbestcare.com/us,Undefined,Other,0
Bunkie,http://www.echopowerline.com,Undefined,Private,0
Newark,https://aligned.co/,"$500,001 to $7,500,000",Private,0
Las Vegas,https://www.marnellcompanies.com/,Undefined,Private,1
Pensacola,http://www.sei-group.com/,Undefined,Private,0
Bellevue,http://www.luxor.tech,"$7,500,001 to $25,000,000",Private,0
New York,https://www.cbiz.com/,Undefined,Private,0
Knoxville,http://www.househasson.com,"$100,000,001 or Above",Private,0
Irvine,https://www.cafishgrill.com/,"$25,000,001 to $100,000,000",Private,1
New Brunswick,http://usmphones.com,"$100,000,001 or Above",Other,0
Tampa,https://usstudentloancenter.org/,Undefined,Private,0
Upland,https://www.simplecar.com/,"$1 to $500,000",Private,0
Vernon,http://redchamber.com/,"$100,000,001 or Above",Private,0
Seattle,http://www.monod.bio,Below $1,Private,0
Dallas,https://www.megatelhomes.com/,Undefined,Private,0
Medford,https://ontrackroguevalley.org/,"$7,500,001 to $25,000,000",Non Profit,0
Philadelphia,https://www.wtcphila.org/,"$500,001 to $7,500,000",Private,0
Laguna Hills,http://bespokeinsgroup.com,Below $1,Private,0
Knoxville,https://www.priorityambulance.com/,Below $1,Private,0
Silver Spring,https://cddep.org,"$500,001 to $7,500,000",Private,0
New York,https://www.playersalliance.org/,Below $1,Private,0
Cape Coral,https://www.mercolamarket.com/,Undefined,Private,1
Chicago,http://www.approvelendingauto.com,Below $1,Private,0
Austin,https://orionwatersolutions.com/,"$7,500,001 to $25,000,000",Private,0
Atlanta,https://gethype.org/,Below $1,Private,0
Roseland,https://www.nextgenerationtrust.com/,"$500,001 to $7,500,000",Other,0
Hollywood,https://www.expresscapitalsolutions.com/,"$500,001 to $7,500,000",Private,0
Downey,http://www.labri-inc.net,"$500,001 to $7,500,000",Private,1
Memphis,https://pittcomanagement.com/,"$7,500,001 to $25,000,000",Private,0
Los Angeles,http://www.jamisonservices.com/,"$7,500,001 to $25,000,000",Non Profit,0
West Palm Beach,https://www.cilo.org/,"$500,001 to $7,500,000",Private,0
El Paso,https://brokerslogistics.com/,"$7,500,001 to $25,000,000",Private,1
Chicago,http://www.transmarketgroup.com/,Undefined,Private,0
New York,https://www.hugoboss.com/us/,Undefined,Private,0
Manchester,https://www.myallegiantcare.com/,Undefined,Private,0
Detroit,http://www.detroitseniorsolution.org,"$25,000,001 to $100,000,000",Non Profit,1
Shelton,http://sectra.com,"$25,000,001 to $100,000,000",Private,0
Washington,https://www.phillipsfinancialstrategies.com/,"$1 to $500,000",Other,0
Los Angeles,https://www.palisociety.com/,"$25,000,001 to $100,000,000",Private,1
Coral Gables,https://www.jbj.foundation/,"$25,000,001 to $100,000,000",Private,0
Fairfield,https://www.brfunsten.com/,"$100,000,001 or Above",Other,0
West Palm Beach,http://bluemartini.com,"$500,001 to $7,500,000",Private,0
Hurst,http://cruadjusters.com,"$7,500,001 to $25,000,000",Private,0
Dublin,http://www.easelogistics.com,"$100,000,001 or Above",Private,0
Miami Beach,http://gibsononcology.com,"$500,001 to $7,500,000",Private,0
San Mateo,http://www.lassahnfiduciary.com/,Undefined,Private,0
Miami,https://www.mrchotels.com/mrccoconutgrove/,"$7,500,001 to $25,000,000",Private,0
Atlanta,http://www.pullapart.com/,"$100,000,001 or Above",Private,0
Los Angeles,http://thewestwoodvillage.com,"$500,001 to $7,500,000",Private,0
Odessa,https://loboservicesconsulting.com/,Undefined,Private,0
New York,http://www.cottanyc.com,Undefined,Private,0
Plantation,https://www.ahschool.com/,"$25,000,001 to $100,000,000",Private,0
New York,https://boqueriarestaurant.com/,Below $1,Private,0
Danbury,https://sensibleauto.com/,"$7,500,001 to $25,000,000",Private,0
Albuquerque,https://www.nmlottery.com/,"$100,000,001 or Above",Private,0
Duluth,https://www.legacyhotelgroup.com/,"$7,500,001 to $25,000,000",Private,0
Encinitas,https://pinnacleglobalnetwork.com/,"$500,001 to $7,500,000",Private,0
Houston,https://zolve.com/,"$1 to $500,000",Private,0
Ashland,https://www.bendonpub.com/,"$100,000,001 or Above",Non Profit,0
Leesburg,https://www.centerpoint.biz/,"$7,500,001 to $25,000,000",Private,0
Knoxville,https://knoxvillehospital.org/,"$25,000,001 to $100,000,000",Non Profit,0
Sioux City,https://tttux.com/locations/iowa/sioux-city-floyd/,"$7,500,001 to $25,000,000",Private,0
Northbrook,https://checkchangers.com/,Undefined,Non Profit,0
Los Angeles,https://www.chevynorthridge.com/,"$100,000,001 or Above",Private,0
Sunrise,https://aafmusa.com/,Undefined,Private,1
San Leandro,https://www.torani.com/,"$100,000,001 or Above",Private,0
Bellaire,https://advantiscertified.com/,"$7,500,001 to $25,000,000",Private,1
San Diego,http://www.cireequity.com,Undefined,Private,0
Tulsa,https://tulsaboneandjoint.com/,"$25,000,001 to $100,000,000",Private,0
Vacaville,http://www.thistle.co,"$25,000,001 to $100,000,000",Private,0
Orland Park,https://www.darvin.com/,Below $1,Private,0
San Diego,http://www.mediprintlens.com,Below $1,Private,0
Brentwood,https://www.neuronsphere.io/,Below $1,Private,0
New York,https://www.nywf.org/,"$7,500,001 to $25,000,000",Private,0
Wilmington,https://www.firststateabortionfund.org/,Below $1,Private,0
New York,https://rfinjurylaw.com/,Undefined,Non Profit,0
Basking Ridge,https://feclabs.org/,"$500,001 to $7,500,000",Private,0
Laurel,https://www.tandcsupply.com/,"$100,000,001 or Above",Non Profit,0
La Palma,https://normanusa.com/,"$7,500,001 to $25,000,000",Non Profit,1
Indianapolis,https://www.burnbyrockypatel.com/indianapolis,"$500,001 to $7,500,000",Private,0
Santa Ana,http://www.mcguff.com,"$7,500,001 to $25,000,000",Private,0
New York,http://engineeringbiologycenter.org,"$1 to $500,000",Private,0
San Francisco,https://bacoproperties.com/,"$500,001 to $7,500,000",Private,1
Baytown,https://guardiansofmedicalchoice.com/,Undefined,Non Profit,0
Wilmington,https://www.candytopia.com/,"$7,500,001 to $25,000,000",Private,1
Smithtown,http://www.guidedog.org,"$7,500,001 to $25,000,000",Private,0
Torrance,https://landiusa.com,"$500,001 to $7,500,000",Private,0
Abita Springs,https://strancosolidwaste.com/,"$7,500,001 to $25,000,000",Private,0
Maple Grove,https://www.francismedical.com/,Below $1,Non Profit,0
Ridgewood,https://www.cactusholdings.com/,"$100,000,001 or Above",Private,0
